decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2010s","1","Ed Sheeran","Shape Of You","36749.2125707908","1","1","1","1","1","1"
"2010s","2","Luis Fonsi & Daddy Yankee","Despacito","30106.4100543482","1","1","1","1","1","1"
"2010s","3","Ed Sheeran","Perfect","29602.0874936417","1","1","1","1","1","1"
"2010s","4","Lil Nas X & Billy Ray Cyrus","Old Town Road","26543.3757239492","1","1","1","1","1","1"
"2010s","5","Billie Eilish","Bad Guy","24514.7385852138","1","2","4","5","1","1"
"2010s","6","Mark Ronson & Bruno Mars","Uptown Funk","24317.1971946765","1","1","3","1","1","1"
"2010s","7","Pharrell Williams","Happy","23926.4205847348","1","1","1","1","1","1"
"2010s","8","Camila Cabello & Young Thug","Havana","23173.4872384609","1","1","2","2","1","1"
"2010s","9","Maroon 5 & Cardi B","Girls Like You","23001.6021438507","1","7","9","4","1","2"
"2010s","10","Adele","Rolling In The Deep","22662.0505175423","1","2","1","3","1","3"
"2010s","11","Post Malone & Swae Lee","Sunflower (Spider-Man: Into The Spider-Verse)","22590.5561917591","1","3","36","63","1","1"
"2010s","12","LMFAO","Party Rock Anthem","21962.1856444654","1","1","1","1","1","1"
"2010s","13","Sia","Cheap Thrills","21774.1796937007","1","2","1","1","1","6"
"2010s","14","Lewis Capaldi","Someone You Loved","21568.9971394685","1","1","18","20","1","4"
"2010s","15","The Chainsmokers & Halsey","Closer","21432.6301645017","1","1","2","31","1","1"
"2010s","16","Justin Timberlake","Can't Stop The Feeling","21351.8605320896","1","2","1","1","1","3"
"2010s","17","Gotye & Kimbra","Somebody That I Used To Know","21117.6717903265","1","1","1","1","1","1"
"2010s","18","Post Malone & 21 Savage","Rockstar","20991.8966761964","1","1","2","8","1","1"
"2010s","19","Ed Sheeran","Thinking Out Loud","20971.3290798467","2","1","6","4","2","1"
"2010s","20","Marshmello & Bastille","Happier","20921.5021710552","2","2","9","24","2","3"
"2010s","21","Lady Gaga & Bradley Cooper","Shallow","20819.250694237","1","1","4","3","1","1"
"2010s","22","Halsey","Without Me","20760.1655864285","1","3","11","39","2","2"
"2010s","23","John Legend","All Of Me","20677.8748731047","1","2","13","4","1","1"
"2010s","24","Panic! At the Disco","High Hopes","20296.9463227333","4","12","5","15","5","7"
"2010s","25","Imagine Dragons","Radioactive","19878.9909414336","3","12","4","28","5","6"
"2010s","26","Avicii","Wake Me Up","19715.000857477","4","1","1","1","2","1"
"2010s","27","Shawn Mendes & Camila Cabello","Senorita","19664.29118215","1","1","1","2","1","1"
"2010s","28","Drake, WizKid & Kyla","One Dance","19598.8007252906","1","1","1","1","1","1"
